Round ID,Round name,Total projects
0x12BB5bBbFE596dbc489d209299B8302c3300fa40,Web3 Open Source Software Round,58
0xdf22a2C8F6BA9376fF17EE13E6154B784ee92094,Ethereum Infrastructure,17
0x274554EB289004e15A7679123901B7F070dDa0fa,ZK Tech Round,5
0xAA40E2E5c8df03d792A52B5458959C320F86ca18,Web3 Community and Education,76
0x421510312C40486965767be5Ea603Aa8a5707983,Climate Solutions,37
0x8aA06b3b8cAc2970857F4E0fD78F21dc01AAdE94,Metacrisis,15
0x905eFBaBe2d52cD648FAdfafCeC8D6C8c60F7423,The Phantom Menace,1
0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,Token Engineering,7
0x9C3B81967EafBA0a451E324417DD4F3F353b997b,Web3 Social,14
0xF1C021DF6Dc6b2dC2E5A837CDFDDC2f42503233B,Mantle Grants 1,1
0x6e8dC2e623204D61b0E59E668702654aE336c9f7,DeSci (Decentralized Science),13
0xf43f4972e47F08EdB5132B2c2b5D06DF221d0fae,ENS Round,0
0x64E5b2228eF31437909900B38fC42Dd5E4B83147,ENS Ecosystem,4
0x859FaeAa266BA13bd1E72eB6dd7A223902d1adFE,Global Chinese Community beta round,0
